restaurant_id,cuisine
res_5a29ba39e8d74c9b,Chinese
res_25e8e03adfdad6dd,Bakery
res_03d8c0137b1bdbf1,North Indian
res_03d8c0137b1bdbf1,Kebab
res_03d8c0137b1bdbf1,Chinese
res_03d8c0137b1bdbf1,Fast Food
res_187fd73e5b1de56d,South Indian
res_6e5ba98c46d29ec0,Continental
res_6e5ba98c46d29ec0,Italian
res_6e5ba98c46d29ec0,Mexican
res_6e5ba98c46d29ec0,North Indian
res_6e5ba98c46d29ec0,Chinese
res_6e5ba98c46d29ec0,Steak
res_8df5054fdf4eb8de,Bakery
res_8df5054fdf4eb8de,Desserts
res_a43077f9813ece14,Burger
res_a43077f9813ece14,Fast Food
res_a43077f9813ece14,Beverages
res_251c3f050093fc34,Italian
res_251c3f050093fc34,North Indian
res_251c3f050093fc34,Biryani
res_2c8926ab397d33c0,Biryani
res_2c8926ab397d33c0,Chinese
res_2c8926ab397d33c0,Kebab
res_d8548a0312d1bb7d,Chinese
res_d8548a0312d1bb7d,Continental
res_d8548a0312d1bb7d,Italian
res_d8548a0312d1bb7d,North Indian
res_11a983f5a10e391a,Fast Food
res_11a983f5a10e391a,Rolls
res_11a983f5a10e391a,Momos
res_fbbf10f65854c63a,South Indian
res_23657eaa87ad6c82,Biryani
res_23657eaa87ad6c82,South Indian
res_862f1cd85922cb27,Fast Food
res_af6ddd887fc34814,South Indian
res_af6ddd887fc34814,Chinese
res_af6ddd887fc34814,North Indian
res_2e7f257bbab90b97,Seafood
res_2e7f257bbab90b97,North Indian
res_2e7f257bbab90b97,Chinese
res_2e7f257bbab90b97,Andhra
res_2e7f257bbab90b97,Biryani
res_2e7f257bbab90b97,Kebab
res_0ffad302405bd779,Beverages
res_0ffad302405bd779,Desserts
res_0ffad302405bd779,Ice Cream
res_69885cfb152c3fd1,Mithai
res_69885cfb152c3fd1,Street Food
res_f8d97515df0c053a,North Indian
res_f8d97515df0c053a,Chinese
res_2d4b3a26143028d5,Bakery
res_2d4b3a26143028d5,Desserts
res_39598485e1ba0088,Biryani
res_39598485e1ba0088,North Indian
res_39598485e1ba0088,Chinese
res_5993780b94d11de8,North Indian
res_f2692f868641bb44,Desserts
res_dcf8537dab07d5d6,Biryani
res_359d68a5efb58d58,Ice Cream
res_b6d8524996482bda,North Indian
res_f83a1bfe0d7702b9,South Indian
res_f83a1bfe0d7702b9,North Indian
res_f83a1bfe0d7702b9,Chinese
res_e6db301e0cb50c63,Fast Food
res_e6db301e0cb50c63,Bakery
res_1ea5f7b7119ab813,North Indian
res_1ea5f7b7119ab813,Iranian
res_ce75065f476c3aab,Fast Food
